,Время,"Координаты Египта (широта, долгота)",Радиационное воздействие аэрозолей с излучением,Радиационное воздействие метана,Радиационное воздействие углекислого газа
941,2007-05-16 00:00:00,"27.00, 33.00",0.7005093693733215,0.4436980187892914,1.8067952394485476
942,2007-05-16 00:00:00,"24.00, 27.00",0.4834929406642914,0.4302427172660827,1.6083462238311768
943,2007-05-16 00:00:00,"24.00, 30.00",0.7317140698432922,0.4533612728118896,1.7189950942993164
944,2007-05-16 00:00:00,"24.00, 33.00",0.7285786271095276,0.4663528800010681,1.8215616941452024
945,2007-05-16 00:00:00,"30.00, 27.00",-5.251780986785889,-0.1406520754098892,-0.0902995467185974
946,2007-05-16 00:00:00,"30.00, 30.00",-6.134212017059326,-0.1538954675197601,-0.098430261015892
947,2007-05-16 00:00:00,"30.00, 33.00",-5.911102294921875,-0.1480412632226944,-0.0940468087792396
948,2007-05-16 00:00:00,"27.00, 27.00",-4.070207595825195,-0.1396823972463607,-0.090021438896656
949,2007-05-16 00:00:00,"27.00, 30.00",-4.421916484832764,-0.1467826664447784,-0.0944735631346702
950,2007-05-16 00:00:00,"27.00, 33.00",-5.651216506958008,-0.1973709613084793,-0.1260321885347366
951,2007-05-16 00:00:00,"24.00, 27.00",-2.705915927886963,-0.1478340327739715,-0.0964138880372047
952,2007-05-16 00:00:00,"24.00, 30.00",-4.155367851257324,-0.1616230607032776,-0.104911558330059
953,2007-05-16 00:00:00,"24.00, 33.00",-5.441205978393555,-0.189048022031784,-0.1220324113965034
954,2007-06-16 00:00:00,"30.00, 27.00",0.8686411380767822,0.3118977844715118,1.414405345916748
955,2007-06-16 00:00:00,"30.00, 30.00",0.9579508304595948,0.3281117677688598,1.4520447254180908
956,2007-06-16 00:00:00,"30.00, 33.00",0.8117350339889526,0.3353159725666046,1.530329346656799
957,2007-06-16 00:00:00,"27.00, 27.00",0.8920013308525085,0.367166131734848,1.5033609867095947
958,2007-06-16 00:00:00,"27.00, 30.00",1.14354145526886,0.3960703611373901,1.6288635730743408
959,2007-06-16 00:00:00,"27.00, 33.00",0.9364694952964784,0.4482360780239105,1.8955057859420776
960,2007-06-16 00:00:00,"24.00, 27.00",0.7247782349586487,0.4169107973575592,1.6188435554504397
961,2007-06-16 00:00:00,"24.00, 30.00",1.087956786155701,0.430743396282196,1.7132456302642822
962,2007-06-16 00:00:00,"24.00, 33.00",1.2402018308639526,0.4810608029365539,1.9033528566360476
963,2007-06-16 00:00:00,"30.00, 27.00",-5.688560485839844,-0.1523585021495819,-0.0994532257318496
964,2007-06-16 00:00:00,"30.00, 30.00",-6.757927894592285,-0.1668116301298141,-0.1109359711408615
965,2007-06-16 00:00:00,"30.00, 33.00",-5.506213665008545,-0.1583521515130996,-0.1067337021231651
966,2007-06-16 00:00:00,"27.00, 27.00",-5.299307823181152,-0.1395848542451858,-0.0930119827389717
967,2007-06-16 00:00:00,"27.00, 30.00",-6.428586006164551,-0.1443974822759628,-0.0971430465579032
968,2007-06-16 00:00:00,"27.00, 33.00",-7.454543113708496,-0.2020029723644256,-0.1333094239234924
969,2007-06-16 00:00:00,"24.00, 27.00",-4.336989402770996,-0.1437311768531799,-0.0974756851792335
970,2007-06-16 00:00:00,"24.00, 30.00",-6.586798667907715,-0.1580820679664611,-0.105708822607994
971,2007-06-16 00:00:00,"24.00, 33.00",-9.006196975708008,-0.1945551484823227,-0.1287943571805954
972,2007-07-16 00:00:00,"30.00, 27.00",1.1752811670303345,0.3175856173038482,1.4758388996124268
973,2007-07-16 00:00:00,"30.00, 30.00",1.146195888519287,0.3082324564456939,1.439399003982544
974,2007-07-16 00:00:00,"30.00, 33.00",1.1095728874206543,0.2759281396865845,1.428850769996643
975,2007-07-16 00:00:00,"27.00, 27.00",1.2290540933609009,0.3907175362110138,1.5779772996902466
976,2007-07-16 00:00:00,"27.00, 30.00",1.2987306118011477,0.4013691544532776,1.651862382888794
977,2007-07-16 00:00:00,"27.00, 33.00",1.2727110385894775,0.4066683948040008,1.844343662261963
978,2007-07-16 00:00:00,"24.00, 27.00",0.9580294489860536,0.4538593888282776,1.7532436847686768
979,2007-07-16 00:00:00,"24.00, 30.00",1.1969565153121948,0.4494097232818603,1.7713338136672974
980,2007-07-16 00:00:00,"24.00, 33.00",1.4323434829711914,0.4672812223434448,1.8690402507781985
981,2007-07-16 00:00:00,"30.00, 27.00",-7.339091777801514,-0.1489892750978469,-0.1016358435153961
982,2007-07-16 00:00:00,"30.00, 30.00",-8.074690818786621,-0.1587347239255905,-0.1107295900583267
983,2007-07-16 00:00:00,"30.00, 33.00",-7.590379238128662,-0.145805612206459,-0.1038769111037254
984,2007-07-16 00:00:00,"27.00, 27.00",-6.893655300140381,-0.1414420902729034,-0.0952970460057258
985,2007-07-16 00:00:00,"27.00, 30.00",-7.70258903503418,-0.1438859552145004,-0.0971281006932258
986,2007-07-16 00:00:00,"27.00, 33.00",-11.095513343811035,-0.1909947544336319,-0.1285685896873474
987,2007-07-16 00:00:00,"24.00, 27.00",-5.653002262115479,-0.1504752933979034,-0.1027339845895767
988,2007-07-16 00:00:00,"24.00, 30.00",-7.921324253082275,-0.1599913537502288,-0.1086858958005905
989,2007-07-16 00:00:00,"24.00, 33.00",-11.74734115600586,-0.1900777518749237,-0.1273375451564788
990,2007-08-16 00:00:00,"30.00, 27.00",1.0417017936706543,0.2104305177927017,1.1617687940597534
991,2007-08-16 00:00:00,"30.00, 30.00",1.0434678792953491,0.2361361533403396,1.2311116456985474
992,2007-08-16 00:00:00,"30.00, 33.00",0.9585187435150146,0.2077764719724655,1.203596591949463
993,2007-08-16 00:00:00,"27.00, 27.00",1.015210509300232,0.2930898368358612,1.3357435464859009
994,2007-08-16 00:00:00,"27.00, 30.00",1.2078640460968018,0.314504325389862,1.4295437335968018
995,2007-08-16 00:00:00,"27.00, 33.00",1.1557213068008425,0.3734140694141388,1.744126796722412
996,2007-08-16 00:00:00,"24.00, 27.00",0.768059492111206,0.3496792614459991,1.4860377311706543
997,2007-08-16 00:00:00,"24.00, 30.00",1.050188660621643,0.3578284382820129,1.5526645183563232
998,2007-08-16 00:00:00,"24.00, 33.00",1.1396297216415403,0.4105716943740845,1.7125253677368164
999,2007-08-16 00:00:00,"30.00, 27.00",-5.696474552154541,-0.1275895684957504,-0.091885969042778
1000,2007-08-16 00:00:00,"30.00, 30.00",-6.691012859344482,-0.1437240093946457,-0.1013592109084129
1001,2007-08-16 00:00:00,"30.00, 33.00",-6.183340549468994,-0.1307614296674728,-0.0941610038280487
1002,2007-08-16 00:00:00,"27.00, 27.00",-5.1180338859558105,-0.123687744140625,-0.0848477259278297
1003,2007-08-16 00:00:00,"27.00, 30.00",-5.99156665802002,-0.1284824460744857,-0.0878261476755142
